feature,feature_label,target_column,reaction_id,reaction_label,spearman_rho,abs_spearman_rho,p_value
log10_e_over_n,log10_e_over_n,rate_const_202,202,O+ -ELASTIC,-0.9908626100237646,0.9908626100237646,0.0
log10_e_over_n,log10_e_over_n,rate_const_126,126,OH- -MOM,-0.9908626100237646,0.9908626100237646,0.0
log10_e_over_n,log10_e_over_n,rate_const_203,203,O- ELASTIC,-0.9908626100237646,0.9908626100237646,0.0
log10_e_over_n,log10_e_over_n,rate_const_167,167,H2O+ -MOMTIC,-0.9908626100237646,0.9908626100237646,0.0
log10_e_over_n,log10_e_over_n,rate_const_080,80,H- -ELASTIC,-0.9908217308712541,0.9908217308712541,0.0
log10_e_over_n,log10_e_over_n,rate_const_001,1,AR3S-ELASTIC,0.990610162133265,0.990610162133265,0.0
log10_e_over_n,log10_e_over_n,rate_const_099,99,H2+ > H+ + H-,-0.9905864628617052,0.9905864628617052,0.0
log10_e_over_n,log10_e_over_n,rate_const_039,39,AR4SPR-ELASTIC,0.9904640387478681,0.9904640387478681,0.0
log10_e_over_n,log10_e_over_n,rate_const_158,158,E + H2OV > O^ + 2H + 2E,0.9889584059275686,0.9889584059275686,0.0
log10_e_over_n,log10_e_over_n,rate_const_062,62,AR4D > AR^,0.985630157156092,0.985630157156092,0.0
log10_e_over_n,log10_e_over_n,rate_const_159,159,E + H2OV > H2^ + O + E,0.9847049944118799,0.9847049944118799,0.0
log10_e_over_n,log10_e_over_n,rate_const_065,65,AR+ IONIZATION,0.9846759171416062,0.9846759171416062,0.0
log10_e_over_n,log10_e_over_n,rate_const_139,139,E + H2O > O^ + 2H + 2E,0.9846102901355942,0.9846102901355942,0.0
log10_e_over_n,log10_e_over_n,rate_const_140,140,E + H2O > H2^ + O + E,0.9791153083294425,0.9791153083294425,0.0
log10_e_over_n,log10_e_over_n,rate_const_170,170,H2O2 > H2O + O-,-0.9741998904060778,0.9741998904060778,0.0
log10_e_over_n,log10_e_over_n,rate_const_171,171,H2O2 > OH + OH-,-0.9741012416914354,0.9741012416914354,0.0
log10_e_over_n,log10_e_over_n,rate_const_184,184,O2-ELECTRONIC 6EV,0.9698008907715825,0.9698008907715825,0.0
log10_e_over_n,log10_e_over_n,rate_const_115,115,OH-A3PI,0.9652922696355689,0.9652922696355689,0.0
log10_e_over_n,log10_e_over_n,rate_const_180,180,O2-B-SINGLET SIGMA,0.9609921440258571,0.9609921440258571,0.0
log10_e_over_n,log10_e_over_n,rate_const_106,106,OH-MOM TRANS,0.9444676085623169,0.9444676085623169,1.431314506636303e-295
log10_e_over_n,log10_e_over_n,rate_const_014,14,AR3S > AR^^,0.912217533713326,0.912217533713326,2.0929304046831472e-237
log10_e_over_n,log10_e_over_n,rate_const_179,179,O2-SINGLET DELTA,0.909343516377456,0.909343516377456,2.345104241699564e-233
log10_e_over_n,log10_e_over_n,rate_const_195,195,O-1D,0.8783776278894024,0.8783776278894024,9.140605790043544e-197
log10_e_over_n,log10_e_over_n,rate_const_177,177,O2-VIB 3,0.7945674134142815,0.7945674134142815,1.2065798560774283e-133
log10_e_over_n,log10_e_over_n,rate_const_133,133,E + H2O > O- + H2 + E,0.7894592223130228,0.7894592223130228,8.831183950387656e-131
log10_e_over_n,log10_e_over_n,rate_const_181,181,O2-VIB 1(res),0.7662861893363001,0.7662861893363001,1.0092992320950123e-118
log10_e_over_n,log10_e_over_n,rate_const_182,182,O2-VIB 2(res),0.7661945549655713,0.7661945549655713,1.119186484504965e-118
log10_e_over_n,log10_e_over_n,rate_const_016,16,AR4SM > AR3S,0.7625080326233346,0.7625080326233346,6.880970172107524e-117
log10_e_over_n,log10_e_over_n,rate_const_178,178,O2-VIB 4,0.7556271633470558,0.7556271633470558,1.231940960978628e-113
