reaction_id,reaction_label,cluster_id,nonzero_fraction,active_density_group_count
165,E + H2OV>O(3p5P)[777.4nm]+H2+E,0,0.7586206896551724,21
166,E + H2OV > H2O+E (average),0,1.0,21
167,H2O+ -MOMTIC,0,1.0,21
168,H2O+ -RECOMBINATION,0,1.0,21
169,H2O2-MOM,0,1.0,21
170,H2O2 > H2O + O-,0,1.0,21
171,H2O2 > OH + OH-,0,1.0,21
172,O2-MOMENTUM,0,1.0,21
173,O2-ATTACHMENT TWO BODY,0,0.8275862068965517,21
174,O2-ROTATIONAL,0,1.0,21
175,O2-VIB 1,0,1.0,21
176,O2-VIB 2,0,1.0,21
177,O2-VIB 3,0,1.0,21
178,O2-VIB 4,0,1.0,21
179,O2-SINGLET DELTA,0,0.9655172413793104,21
180,O2-B-SINGLET SIGMA,0,0.9655172413793104,21
181,O2-VIB 1(res),0,0.8275862068965517,21
182,O2-VIB 2(res),0,0.8275862068965517,21
183,O2-ELECTRONIC 4.5EV,0,0.8275862068965517,21
184,O2-ELECTRONIC 6EV,0,0.7931034482758621,21
185,O2-ELECTRONIC 8.4EV,0,0.7931034482758621,21
186,O2-ELECTRONIC 10EV,0,0.7931034482758621,21
187,O2-IONIZATION,0,0.7931034482758621,21
188,02-130NM LINE EXCITE,0,0.7931034482758621,21
189,O + O^ + E + E,0,0.7586206896551724,21
190,O2+ -ELASTIC,0,1.0,21
191,O2+ -RECOMBINATION,0,1.0,21
192,O2- -MOMENTUM TRANSFER,0,1.0,21
193,E + O2- > O2 + E + E,0,0.8275862068965517,21
194,O-MOMENTUM,0,1.0,21
195,O-1D,0,0.9655172413793104,21
196,O-1S,0,0.8275862068965517,21
197,O-3s 5S0,0,0.7931034482758621,21
198,O-3s 3S0,0,0.7931034482758621,21
199,O-3p 5P,0,0.7931034482758621,21
200,O-3p 3P,0,0.7931034482758621,21
201,O-ION,0,0.7931034482758621,21
202,O+ -ELASTIC,0,1.0,21
203,O- ELASTIC,0,1.0,21
204,O- Detachment,0,0.8275862068965517,21
