target_column,reaction_id,reaction_label,total_variance,group_share,local_case_share,interaction_share,dominant_source
rate_const_139,139,E + H2O > O^ + 2H + 2E,136587.2950524413,0.00023323988917480946,0.9977263374494588,0.0020404226613664218,local_case_share
rate_const_146,146,E + H2O >O(3p5P)[777.4nm]+H2+E,114235.63913290092,0.0002234960237080948,0.997574740284306,0.0022017636919860408,local_case_share
rate_const_144,144,E + H2O > H(3) [656.3nm] +OH+E,125284.48186608391,0.00025695807590368064,0.9973180832732973,0.0024249586507989903,local_case_share
rate_const_065,65,AR+ IONIZATION,148649.49551066651,0.00030661987094516673,0.9971595131115195,0.0025338670175353043,local_case_share
rate_const_164,164,E + H2OV > H(4)[486.1nm] +OH+E,119681.84563786046,0.0003093703191717134,0.9967917078460903,0.002898921834737984,local_case_share
rate_const_145,145,E + H2O > H(4) [486.1nm] +OH+E,119146.73991474579,0.00037589930925228124,0.9962308323815185,0.0033932683092290947,local_case_share
rate_const_160,160,E + H2OV > H^ + OH + 2E,128131.29775008933,0.0004423634612622952,0.9958730743712043,0.0036845621675335566,local_case_share
rate_const_159,159,E + H2OV > H2^ + O + E,121024.32172558267,0.00046643055673637845,0.9956920990856608,0.003841470357602752,local_case_share
rate_const_141,141,E + H2O > H^ + OH + 2E,127574.32623129772,0.0005112928749748515,0.9953971021420449,0.004091604982980079,local_case_share
rate_const_018,18,AR4SM > AR4SPM,297.3136166469651,0.000558637383907955,0.9941529489726324,0.0052884136434599854,local_case_share
rate_const_158,158,E + H2OV > O^ + 2H + 2E,127235.95158246675,0.0006970895449967319,0.9940985523999212,0.005204358055082344,local_case_share
rate_const_035,35,AR4SPM > AR4SPR,9.028245692187362,0.0005167200310377686,0.9940369847916278,0.00544629517733904,local_case_share
rate_const_027,27,AR4SR > AR4SPR,335.9152392199204,0.0005776420974138665,0.9940120557742428,0.0054103021283433955,local_case_share
rate_const_107,107,OH-V1,30150.38070663758,0.0007301484039479726,0.9932104701501755,0.006059381445876715,local_case_share
rate_const_179,179,O2-SINGLET DELTA,29694.269925296874,0.0007576298406842714,0.9929377398248945,0.006304630334421224,local_case_share
rate_const_044,44,"AR4SPR>AR4P,3D,5S,5P",33298.77423468347,0.0007908624986648153,0.9926935597135916,0.006515577787743538,local_case_share
rate_const_036,36,"AR4SPM>AR4P,3D,5S,5P",33352.80199857787,0.0009241927155293495,0.9915570448234848,0.007518762460985355,local_case_share
rate_const_086,86,H2 > H2(V=2),53688.214319167964,0.0007099334940462072,0.9912966802928719,0.00799338621308224,local_case_share
rate_const_062,62,AR4D > AR^,34354.97010023665,0.0010621944158744124,0.9904142319449426,0.008523573639183213,local_case_share
rate_const_028,28,"AR4SR>AR4P,3D,5S,5P",33427.20991638407,0.001059575602492678,0.9904132346510506,0.00852718974645697,local_case_share
rate_const_020,20,"AR4SM>AR4P,3D,5S,5P",33497.42394780321,0.0011643787792638782,0.9895350824017335,0.009300538819002554,local_case_share
rate_const_130,130,E + H2O > H2OV(010) + E,256.13988426967853,0.0011709873980336543,0.9881239544932429,0.010705058108722148,local_case_share
rate_const_081,81,H- -DETACHMENT,35199.07774727873,0.0014924440663914979,0.9868999032732544,0.011607652660353776,local_case_share
rate_const_180,180,O2-B-SINGLET SIGMA,29516.480157506572,0.0018615534797805703,0.9835914235975279,0.014547022922691081,local_case_share
rate_const_053,53,"AR4P > AR4D,6S,RYD",34172.77196500329,0.0020348058998672747,0.9823478804123613,0.015617313687771452,local_case_share
rate_const_075,75,H*  > H**,33558.02656762114,0.002157850420034177,0.9812645839194498,0.016577565660515835,local_case_share
rate_const_195,195,O-1D,32177.04729980551,0.0025561079083820416,0.9780444886681054,0.019399403423512485,local_case_share
rate_const_178,178,O2-VIB 4,3932.810106521757,0.005005286394548291,0.9628846548282691,0.03211005877718233,local_case_share
rate_const_175,175,O2-VIB 1,293.2103835019087,0.004313243479025364,0.9582268104558302,0.0374599460651453,local_case_share
rate_const_019,19,AR4SM > AR4SPR,693.5396132345847,0.00600391290540732,0.9398593128477729,0.05413677424681925,local_case_share
rate_const_177,177,O2-VIB 3,2567.502036031186,0.008336930613813175,0.9385262733457257,0.053136796040461204,local_case_share
rate_const_085,85,H2 > H2(V=1),1991.3466224992967,0.010520460299354642,0.9187526129736994,0.07072692672694605,local_case_share
rate_const_129,129,E + H2O > H2OV(100) + E,1081.159098150654,0.010103928108421692,0.9103205408702582,0.07957553102132033,local_case_share
rate_const_131,131,E + H2O > H2OV(001) + E,1126.543799236509,0.010328491011879083,0.9086256970242027,0.08104581196391798,local_case_share
rate_const_176,176,O2-VIB 2,757.5282161551393,0.020275273285317506,0.825077611204153,0.1546471155105301,local_case_share
rate_const_120,120,OH^-X2SIGMA--Not Used,0.0,0.0,0.0,0.0,group_share
rate_const_121,121,OH^-A2PI--Not Used,0.0,0.0,0.0,0.0,group_share
rate_const_122,122,OH^-B2SIGMA--Not Used,0.0,0.0,0.0,0.0,group_share
rate_const_123,123,"OH-DISSOC, C^+O--Not Used",0.0,0.0,0.0,0.0,group_share
rate_const_124,124,"OH-DISSOC,C+O^--Not used",0.0,0.0,0.0,0.0,group_share
