Time[s],Electron Density [m^-3],Argon Density [m^-3],AR4SM,AR4SR,AR4SPM,AR4SPR,AR4P,AR4D,AR+,AR2*,AR2+
3.0019116081803077e-08,8480809811968.0,2.396734137923797e+19,37980995584000.0,76088147443712.0,8599576772608.0,62099149553664.0,39719559757824.0,690226200576.0,818203656192.0,43515228717056.0,163046326272.0
3.052980801498961e-08,8518272286720.0,2.396733918021471e+19,38228950253568.0,76541073555456.0,8649925722112.0,62428364668928.0,39669454602240.0,691773046784.0,815369682944.0,44082768379904.0,163281403904.0
3.104749168869603e-08,8554607017984.0,2.396733698119146e+19,38466670821376.0,76971744690176.0,8697815760896.0,62739707854848.0,39620238639104.0,693248196608.0,812622872576.0,44635065942016.0,163538878464.0
3.157225236805061e-08,8589857521664.0,2.3967334782168203e+19,38694417334272.0,77380890656768.0,8743324483584.0,63033816645632.0,39572025114624.0,694655188992.0,809968533504.0,45172003962880.0,163809263616.0
3.210419663446373e-08,8624064692224.0,2.3967332583144948e+19,38912441450496.0,77769207709696.0,8786528436224.0,63311307603968.0,39524893720576.0,695996973056.0,807407845376.0,45693473390592.0,164086693888.0
3.264341685849104e-08,8657267326976.0,2.3967330384121692e+19,39120999022592.0,78137408880640.0,8827506262016.0,63572805681152.0,39478894788608.0,697276301312.0,804939366400.0,46199407116288.0,164367335424.0
3.319001251611553e-08,8689503698944.0,2.3967328185098437e+19,39320362680320.0,78486215589888.0,8866333982720.0,63818940022784.0,39434061873152.0,698495795200.0,802560344064.0,46689763196928.0,164648648704.0
3.37440866360339e-08,8720811556864.0,2.396732598607518e+19,39510788276224.0,78816332480512.0,8903089717248.0,64050322997248.0,39390420140032.0,699657814016.0,800266715136.0,47164533243904.0,164928749568.0
3.430574224694283e-08,8751226028032.0,2.396732378705193e+19,39692552634368.0,79128472584192.0,8937851060224.0,64267558584320.0,39347973783552.0,700764585984.0,798054023168.0,47623729840128.0,165206212608.0
3.4875082377539e-08,8780782764032.0,2.396732158802867e+19,39865919995904.0,79423332155392.0,8970692460544.0,64471254958080.0,39306722803712.0,701818208256.0,795917418496.0,48067394928640.0,165479825408.0
3.545221005651911e-08,8809516892160.0,2.3967319389005414e+19,40031154601984.0,79701607448576.0,9001690464256.0,64662003515392.0,39266654617600.0,702820712448.0,793851985920.0,48495604006912.0,165748523008.0
3.6037235418007185e-08,8837461442560.0,2.396731718998216e+19,40188533276672.0,79963986329600.0,9030918471680.0,64840387264512.0,39227748253696.0,703773999104.0,791852744704.0,48908449349632.0,166011355136.0
3.663026149069992e-08,8864651018240.0,2.3967314990958903e+19,40338320261120.0,80211148275712.0,9058451980288.0,65006976630784.0,39189978546176.0,704679837696.0,789914910720.0,49306048397312.0,166267469824.0
3.723140551414872e-08,8891118125056.0,2.3967312791935648e+19,40480788185088.0,80443747598336.0,9084362293248.0,65162333650944.0,39153320329216.0,705539997696.0,788033961984.0,49688547950592.0,166516097024.0
3.784077051705026e-08,8916895268864.0,2.3967310592912392e+19,40616192901120.0,80662455386112.0,9108720713728.0,65307003584512.0,39117735854080.0,706356248576.0,786205507584.0,50056111587328.0,166756532224.0
