density_group_id,species_id,species_label,min_value,max_value,range_value,is_constant_within_group
6,46,EDEP,0.0,0.0,0.0,True
6,47,PDEP,0.0,0.0,0.0,True
6,48,M,0.0,0.0,0.0,True
6,49,MIS,0.0,0.0,0.0,True
7,1,E,1.439e-07,1.439e-07,0.0,True
7,2,AR3S,0.98,0.98,0.0,True
7,3,AR4SM,7.156e-07,7.156e-07,0.0,True
7,4,AR4SR,1.46e-06,1.46e-06,0.0,True
7,5,AR4SPM,1.628e-07,1.628e-07,0.0,True
7,6,AR4SPR,1.177e-06,1.177e-06,0.0,True
7,7,AR4P,6.808e-07,6.808e-07,0.0,True
7,8,AR4D,8.691e-09,8.691e-09,0.0,True
7,9,AR^,1.551e-08,1.551e-08,0.0,True
7,10,AR2*,9.776e-07,9.776e-07,0.0,True
7,11,AR2^,3.391e-09,3.391e-09,0.0,True
7,12,H,2.671e-05,2.671e-05,0.0,True
7,13,H*,1.045e-09,1.045e-09,0.0,True
7,14,H^,7.239e-13,7.239e-13,0.0,True
7,15,H-,4.884e-09,4.884e-09,0.0,True
7,16,H2,5.092e-07,5.092e-07,0.0,True
7,17,H2*,2.374e-11,2.374e-11,0.0,True
7,18,H2^,2.44e-14,2.44e-14,0.0,True
7,19,H3^,1.283e-12,1.283e-12,0.0,True
7,20,OH,2.744e-05,2.744e-05,0.0,True
7,21,OH*,2.857e-07,2.857e-07,0.0,True
7,22,OH^,2.463e-12,2.463e-12,0.0,True
7,23,OH-,4.195e-07,4.195e-07,0.0,True
7,24,H2O,0.01994,0.01994,0.0,True
7,25,H2OV,2.607e-05,2.607e-05,0.0,True
7,26,H2O^,1.125e-08,1.125e-08,0.0,True
7,27,HO2,1.77e-12,1.77e-12,0.0,True
7,28,H2O2,8.924e-09,8.924e-09,0.0,True
7,29,H3O^,6.009e-07,6.009e-07,0.0,True
7,30,O2,6.99e-12,6.99e-12,0.0,True
7,31,O2^,5.826e-15,5.826e-15,0.0,True
7,32,O2-,8.31e-18,8.31e-18,0.0,True
7,33,O,2.626e-08,2.626e-08,0.0,True
7,34,O^,1.109e-15,1.109e-15,0.0,True
7,35,O-,6.278e-08,6.278e-08,0.0,True
7,36,HV_096,0.0,0.0,0.0,True
7,37,HV_106,0.0,0.0,0.0,True
7,38,HV_126,0.0,0.0,0.0,True
7,39,ONE,0.0,0.0,0.0,True
7,40,TE,0.0,0.0,0.0,True
7,41,TGAS,0.0,0.0,0.0,True
7,42,EB,0.0,0.0,0.0,True
7,43,POS,0.0,0.0,0.0,True
7,44,POSITION,0.0,0.0,0.0,True
7,45,SPEED,0.0,0.0,0.0,True
7,46,EDEP,0.0,0.0,0.0,True
7,47,PDEP,0.0,0.0,0.0,True
7,48,M,0.0,0.0,0.0,True
7,49,MIS,0.0,0.0,0.0,True
8,1,E,1.454e-07,1.454e-07,0.0,True
8,2,AR3S,0.98,0.98,0.0,True
