global_case_id,density_group_id,local_case_id,max_reaction_id,max_reaction_label,max_rate_const,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,sum,zero_count,nonzero_count,positive_count,negative_count,unique_count
57,2,28,80,H- -ELASTIC,8.599e-06,204.0,0.0,8.599e-06,5.684977720161799e-07,3.814e-09,1.981882956126639e-06,0.0,1.0959000000000002e-12,2.0909999999999998e-10,3.814e-09,6.457500000000001e-08,8.439e-06,8.44394e-06,0.0001159735454913007,5.0,199.0,199.0,0.0,183.0
58,2,29,80,H- -ELASTIC,7.599e-06,204.0,0.0,7.599e-06,5.105492229102972e-07,4.112e-09,1.7362304383431175e-06,0.0,1.0873150000000006e-12,2.31925e-10,4.112e-09,6.347e-08,7.379e-06,7.3898800000000005e-06,0.00010415204147370063,5.0,199.0,199.0,0.0,187.0
59,3,1,63,AR+ -ELASTIC,0.004183,204.0,0.0,0.004183,0.0002460814573722981,0.0,0.0009842296410327125,0.0,0.0,0.0,0.0,1.351e-09,0.004183,0.004183,0.05020061730394882,118.0,86.0,86.0,0.0,67.0
60,3,2,63,AR+ -ELASTIC,0.004179,204.0,0.0,0.004179,0.0002458461618317013,0.0,0.0009832884649183403,0.0,0.0,0.0,0.0,1.3545e-09,0.004179,0.004179,0.05015261701366706,106.0,98.0,98.0,0.0,79.0
61,3,3,63,AR+ -ELASTIC,0.004146,204.0,0.0,0.004146,0.0002439049693459458,0.0,0.000975523763042923,0.0,0.0,0.0,0.0,1.37625e-09,0.004146,0.004146,0.04975661374657294,105.0,99.0,99.0,0.0,80.0
62,3,4,63,AR+ -ELASTIC,0.003713,204.0,0.0,0.003713,0.00021843414348539288,0.0,0.000873641469632056,0.0,0.0,0.0,0.0,1.46525e-09,0.003713,0.003713,0.04456056527102015,105.0,99.0,99.0,0.0,80.0
63,3,5,63,AR+ -ELASTIC,0.002232,204.0,0.0,0.002232,0.00013131571540124436,0.0,0.0005251710776978971,0.0,0.0,0.0,0.0,2.3465e-09,0.002232,0.002232,0.02678840594185385,105.0,99.0,99.0,0.0,80.0
64,3,6,63,AR+ -ELASTIC,0.0006322,204.0,0.0,0.0006322,3.721053099328426e-05,9.1165e-13,0.00014874738245609508,0.0,0.0,0.0,9.1165e-13,7.12275e-09,0.0006322,0.0006322,0.007590948322629989,82.0,122.0,122.0,0.0,104.0
65,3,7,63,AR+ -ELASTIC,8.344e-05,204.0,0.0,8.344e-05,4.940373481795105e-06,8.094000000000001e-11,1.962512017195569e-05,0.0,0.0,2.72525e-16,8.094000000000001e-11,2.78525e-08,8.344e-05,8.344e-05,0.0010078361902862013,29.0,175.0,175.0,0.0,158.0
66,3,8,63,AR+ -ELASTIC,3.745e-05,204.0,0.0,3.745e-05,2.2432896789069e-06,2.2575e-10,8.80244437616879e-06,0.0,8.78400000000002e-22,6.0625e-15,2.2575e-10,3.2532500000000004e-08,3.745e-05,3.745e-05,0.00045763109449700767,11.0,193.0,193.0,0.0,176.0
67,3,9,63,AR+ -ELASTIC,2.68e-05,204.0,0.0,2.68e-05,1.6217350518775315e-06,3.5705e-10,6.2959052815701295e-06,0.0,3.112990000000007e-21,2.9557500000000003e-13,3.5705e-10,3.266e-08,2.68e-05,2.68e-05,0.00033083395058301643,10.0,194.0,194.0,0.0,177.0
68,3,10,63,AR+ -ELASTIC,2.322e-05,204.0,0.0,2.322e-05,1.4136312321722153e-06,5.508e-10,5.453299800484546e-06,0.0,6.33500000000001e-21,1.072425e-12,5.508e-10,3.252e-08,2.322e-05,2.322e-05,0.0002883807713631319,7.0,197.0,197.0,0.0,178.0
69,3,11,63,AR+ -ELASTIC,2.171e-05,204.0,0.0,2.171e-05,1.3260525642317895e-06,5.916e-10,5.097902096889096e-06,0.0,1.0372000000000012e-20,2.06375e-12,5.916e-10,3.32575e-08,2.171e-05,2.171e-05,0.00027051472310328506,6.0,198.0,198.0,0.0,180.0
70,3,12,63,AR+ -ELASTIC,2.013e-05,204.0,0.0,2.013e-05,1.2345041174422194e-06,6.4865e-10,4.726048950852843e-06,0.0,5.239000000000007e-20,4.6495e-12,6.4865e-10,3.50325e-08,2.013e-05,2.013e-05,0.00025183883995821274,6.0,198.0,198.0,0.0,180.0
71,3,13,63,AR+ -ELASTIC,1.917e-05,204.0,0.0,1.917e-05,1.1789175215628163e-06,7.271999999999999e-10,4.50012937999704e-06,0.0,1.3550500000000006e-19,6.8135e-12,7.271999999999999e-10,3.72575e-08,1.917e-05,1.917e-05,0.0002404991743988145,6.0,198.0,198.0,0.0,181.0
72,3,14,63,AR+ -ELASTIC,1.846e-05,204.0,0.0,1.846e-05,1.137835734399803e-06,8.074e-10,4.333051580449745e-06,0.0,2.60015e-19,1.199675e-11,8.074e-10,3.86475e-08,1.846e-05,1.846e-05,0.0002321184898175598,6.0,198.0,198.0,0.0,182.0
73,3,15,63,AR+ -ELASTIC,1.789e-05,204.0,0.0,1.789e-05,1.104875865448979e-06,8.428e-10,4.198924923572787e-06,0.0,3.4033000000000007e-19,1.61625e-11,8.428e-10,3.966e-08,1.789e-05,1.789e-05,0.0002253946765515917,6.0,198.0,198.0,0.0,181.0
